Time_Taken,Node 1,Node 2,Node 3,Node 4,Node 5
829,1,0.866999984,0.70599997,0,0
832,1,0.870000005,0.70599997,0,0
835,1,0.870000005,0.70599997,0,0
838,1,0.870000005,0.708999991,0,0
841,1,0.870000005,0.712000012,0,0
844,1,0.870000005,0.712000012,0,0
848,0.995999992,0.870000005,0.716000021,0,0
851,1,0.874000013,0.716000021,0,0
854,1,0.870000005,0.716000021,0,0
857,1,0.874000013,0.718999982,0,0
860,1,0.874000013,0.718999982,0,0
863,1,0.874000013,0.718999982,0,0
866,1,0.876999974,0.722000003,0,0
869,1,0.876999974,0.722000003,0,0
873,1,0.876999974,0.725000024,0,0
877,1,0.879999995,0.725000024,0,0
881,1,0.879999995,0.728999972,0.003,0
885,1,0.879999995,0.728999972,0.012,0
889,1,0.883000016,0.731999993,0.025,0
893,1,0.883000016,0.735000014,0.037999999,0
898,1,0.887000024,0.735000014,0.054000001,0
902,1,0.887000024,0.737999976,0.07,0
906,1,0.889999986,0.737999976,0.090000004,0
910,1,0.887000024,0.737999976,0.103,0
914,1,0.887000024,0.740999997,0.119000003,0
918,1,0.887000024,0.740999997,0.131999999,0
922,1,0.887000024,0.745000005,0.144999996,0
926,1,0.887000024,0.745000005,0.158000007,0
930,1,0.887000024,0.745000005,0.166999996,0
933,1,0.887000024,0.748000026,0.173999995,0
936,1.003000021,0.887000024,0.745000005,0.180000007,0
939,1.003000021,0.887000024,0.748000026,0.187000006,0
942,1.003000021,0.887000024,0.750999987,0.195999995,0
946,1.003000021,0.887000024,0.750999987,0.206,0
949,1.003000021,0.887000024,0.754000008,0.211999997,0
952,1.003000021,0.889999986,0.754000008,0.218999997,0
955,1.003000021,0.889999986,0.758000016,0.229000002,0
958,1.003000021,0.889999986,0.758000016,0.231999993,0
960,1.003000021,0.889999986,0.758000016,0.234999999,0
963,1.003000021,0.889999986,0.760999978,0.240999997,0
965,1.003000021,0.889999986,0.760999978,0.250999987,0
967,1.003000021,0.889999986,0.760999978,0.250999987,0
969,1.003000021,0.889999986,0.760999978,0.257999986,0
972,1.003000021,0.887000024,0.763999999,0.261000007,0
974,1.003000021,0.889999986,0.763999999,0.263999999,0
976,1.003000021,0.889999986,0.763999999,0.263999999,0
978,1.003000021,0.889999986,0.76700002,0.26699999,0
980,1.003000021,0.889999986,0.76700002,0.270000011,0
982,1.003000021,0.889999986,0.76700002,0.273999989,0
984,1.003000021,0.889999986,0.76700002,0.280000001,0
986,1.003000021,0.889999986,0.769999981,0.282999992,0
988,1.003000021,0.889999986,0.769999981,0.289999992,0
992,1.003000021,0.889999986,0.769999981,0.296000004,0
995,1.006000042,0.889999986,0.769999981,0.296000004,0
998,1.006000042,0.889999986,0.77700001,0.303000003,0
1001,1.006000042,0.889999986,0.77700001,0.305999994,0
1004,1.006000042,0.889999986,0.77700001,0.312000006,0
1007,1.003000021,0.893000007,0.77700001,0.312000006,0
1010,1.003000021,0.889999986,0.779999971,0.321999997,0
1013,1.006000042,0.889999986,0.779999971,0.324999988,0
1016,1.006000042,0.893000007,0.779999971,0.324999988,0
1019,1.006000042,0.889999986,0.782999992,0.328999996,0
1022,1.006000042,0.893000007,0.782999992,0.335000008,0
1025,1.006000042,0.893000007,0.782999992,0.338,0
1028,1.006000042,0.893000007,0.787,0.338,0
1031,1.006000042,0.893000007,0.787,0.340999991,0
1034,1.006000042,0.893000007,0.787,0.34799999,0
1038,1.006000042,0.893000007,0.790000021,0.351000011,0
1041,1.006000042,0.893000007,0.790000021,0.351000011,0
1044,1.006000042,0.893000007,0.792999983,0.35800001,0
1047,1.006000042,0.893000007,0.796000004,0.361000001,0
1050,1.006000042,0.893000007,0.796000004,0.361000001,0
1053,1.006000042,0.893000007,0.796000004,0.361000001,0
1056,1.006000042,0.893000007,0.800000012,0.363999993,0
1059,1.006000042,0.893000007,0.802999973,0.367000014,0
1062,1.006000042,0.893000007,0.805999994,0.374000013,0
1065,1.006000042,0.893000007,0.805999994,0.377000004,0
1068,1.006000042,0.893000007,0.809000015,0.379999995,0
1071,1.006000042,0.893000007,0.809000015,0.386999995,0
1074,1.006000042,0.893000007,0.809000015,0.386999995,0
1077,1.006000042,0.893000007,0.811999977,0.393000007,0
1080,1.006000042,0.893000007,0.811999977,0.393000007,0
1083,1.006000042,0.893000007,0.811999977,0.393000007,0
1086,1.006000042,0.893000007,0.815999985,0.393000007,0
1089,1.006000042,0.893000007,0.815999985,0.395999998,0
1091,1.006000042,0.893000007,0.815999985,0.395999998,0
1094,1.003000021,0.893000007,0.815999985,0.400000006,0
1096,1.006000042,0.896000028,0.815999985,0.400000006,0
1098,1.006000042,0.893000007,0.819000006,0.400000006,0
1100,1.006000042,0.893000007,0.819000006,0.402999997,0
1102,1.006000042,0.896000028,0.819000006,0.402999997,0
1104,1.006000042,0.893000007,0.822000027,0.405999988,0
1106,1.006000042,0.893000007,0.819000006,0.405999988,0
1108,1.006000042,0.893000007,0.822000027,0.405999988,0
1110,1.006000042,0.893000007,0.822000027,0.409000009,0
1112,1.006000042,0.896000028,0.819000006,0.409000009,0
1114,1.006000042,0.893000007,0.824999988,0.412,0
1116,1.006000042,0.893000007,0.824999988,0.412,0
1118,1.006000042,0.896000028,0.824999988,0.412,0
1120,1.006000042,0.896000028,0.824999988,0.412,0
1122,1.006000042,0.893000007,0.824999988,0.416000009,0
1124,1.006000042,0.896000028,0.828999996,0.419,0
1126,1.006000042,0.893000007,0.828999996,0.416000009,0
1128,1.006000042,0.896000028,0.828999996,0.419,0
1130,1.006000042,0.896000028,0.828999996,0.421999991,0
1133,1.006000042,0.896000028,0.832000017,0.419,0
1135,1.006000042,0.893000007,0.832000017,0.419,0
1137,1.006000042,0.896000028,0.828999996,0.425000012,0
1139,1.006000042,0.896000028,0.832000017,0.42899999,0
1141,1.006000042,0.896000028,0.832000017,0.432000011,0
1143,1.006000042,0.896000028,0.832000017,0.432000011,0
1145,1.003000021,0.896000028,0.834999979,0.432000011,0
1147,1.006000042,0.896000028,0.834999979,0.435000002,0
1149,1.006000042,0.896000028,0.834999979,0.441000015,0
1151,1.006000042,0.896000028,0.838,0.444999993,0
1153,1.006000042,0.896000028,0.838,0.444999993,0
1155,1.006000042,0.896000028,0.838,0.448000014,0
1157,1.006000042,0.896000028,0.838,0.448000014,0
1159,1.006000042,0.893000007,0.838,0.448000014,0
1161,1.003000021,0.896000028,0.838,0.451000005,0
1163,1.006000042,0.896000028,0.841000021,0.451000005,0
1166,1.006000042,0.896000028,0.838,0.451000005,0
1169,1.006000042,0.893000007,0.841000021,0.453999996,0
1172,1.006000042,0.896000028,0.841000021,0.453999996,0
1175,1.006000042,0.896000028,0.845000029,0.458000004,0
1179,1.006000042,0.896000028,0.845000029,0.458000004,0
1182,1.003000021,0.896000028,0.845000029,0.460999995,0
1185,1.006000042,0.896000028,0.84799999,0.463999987,0
1188,1.006000042,0.896000028,0.84799999,0.463999987,0
1191,1.003000021,0.896000028,0.84799999,0.463999987,0
1194,1.003000021,0.896000028,0.851000011,0.463999987,0
1197,1.003000021,0.896000028,0.853999972,0.469999999,0
1200,1.003000021,0.896000028,0.853999972,0.469999999,0
1203,1.003000021,0.896000028,0.853999972,0.469999999,0
1206,1.003000021,0.896000028,0.85799998,0.474000007,0
1209,1.003000021,0.896000028,0.85799998,0.476999998,0
1212,1.003000021,0.896000028,0.85799998,0.476999998,0
1215,1.003000021,0.896000028,0.85799998,0.476999998,0
1218,1.003000021,0.896000028,0.85799998,0.476999998,0
1221,1.003000021,0.896000028,0.85799998,0.476999998,0
1224,1.003000021,0.896000028,0.861000001,0.479999989,0
1228,1.003000021,0.896000028,0.861000001,0.48300001,0
1231,1,0.896000028,0.861000001,0.48300001,0
1234,1.003000021,0.896000028,0.864000022,0.486999989,0.006
1236,1.003000021,0.896000028,0.864000022,0.486999989,0.009
1238,1.003000021,0.896000028,0.864000022,0.486999989,0.006
1240,1.003000021,0.896000028,0.864000022,0.49000001,0.012
1243,1.003000021,0.896000028,0.864000022,0.49000001,0.018999999
1246,1.003000021,0.896000028,0.866999984,0.493000001,0.025
1249,1.003000021,0.896000028,0.866999984,0.49000001,0.032000002
1252,1.003000021,0.896000028,0.866999984,0.493000001,0.035
1255,1.003000021,0.896000028,0.866999984,0.493000001,0.041000001
1258,1.003000021,0.896000028,0.870000005,0.495999992,0.048
1261,1.003000021,0.896000028,0.870000005,0.493000001,0.064000003
1264,1.003000021,0.896000028,0.870000005,0.495999992,0.077
1267,1.003000021,0.896000028,0.870000005,0.5,0.086999997
1270,1.003000021,0.896000028,0.870000005,0.5,0.093000002
1273,1.003000021,0.896000028,0.874000013,0.5,0.105999999
1277,1,0.896000028,0.874000013,0.5,0.115999997
1280,1.003000021,0.896000028,0.874000013,0.503000021,0.135000005
1283,1.003000021,0.896000028,0.874000013,0.503000021,0.144999996
1286,1,0.896000028,0.876999974,0.505999982,0.153999999
1289,1.003000021,0.896000028,0.876999974,0.505999982,0.166999996
1292,1.003000021,0.896000028,0.876999974,0.505999982,0.177000001
1295,1.003000021,0.896000028,0.876999974,0.509000003,0.193000004
1298,1.003000021,0.896000028,0.876999974,0.509000003,0.206
1301,1,0.896000028,0.876999974,0.512000024,0.222000003
1304,1,0.896000028,0.876999974,0.512000024,0.238000005
1307,1,0.899999976,0.879999995,0.512000024,0.250999987
1310,1.003000021,0.896000028,0.879999995,0.512000024,0.261000007
1313,1,0.899999976,0.879999995,0.515999973,0.270000011
1316,1,0.899999976,0.879999995,0.515999973,0.282999992
1319,1,0.899999976,0.883000016,0.515999973,0.293000013
1322,1,0.896000028,0.879999995,0.515999973,0.303000003
1325,1,0.896000028,0.883000016,0.515999973,0.312000006
1329,1,0.896000028,0.883000016,0.515999973,0.321999997
1332,1,0.899999976,0.883000016,0.515999973,0.328999996
1335,1,0.899999976,0.887000024,0.518999994,0.338
1338,1,0.899999976,0.887000024,0.522000015,0.34799999
1341,1,0.896000028,0.887000024,0.522000015,0.351000011
1344,1,0.899999976,0.887000024,0.522000015,0.35800001
1347,1,0.899999976,0.887000024,0.524999976,0.363999993
1350,1,0.899999976,0.889999986,0.524999976,0.374000013
1353,1,0.899999976,0.889999986,0.528999984,0.377000004
1356,1,0.896000028,0.889999986,0.528999984,0.382999986
1359,1,0.896000028,0.889999986,0.528999984,0.393000007
1362,1,0.896000028,0.889999986,0.528999984,0.400000006
1365,1,0.899999976,0.893000007,0.528999984,0.405999988
1368,1,0.899999976,0.893000007,0.528999984,0.412
1371,1,0.899999976,0.889999986,0.535000026,0.421999991
1374,1,0.899999976,0.893000007,0.532000005,0.42899999
1378,1,0.896000028,0.893000007,0.535000026,0.435000002
1381,1,0.899999976,0.893000007,0.541000009,0.437999994
1384,1,0.899999976,0.896000028,0.541000009,0.444999993
1387,1,0.899999976,0.896000028,0.545000017,0.451000005
